,Symptom
3864,"Difficulty swallowing, Grooved tongue, Pain or discomfort and Sore throat"
3865,"Difficulty swallowing, Gum sores, Mouth sores and Sore tongue"
3866,"Difficulty swallowing, Headache and Sore throat"
3867,"Difficulty swallowing, Headache and Stiff neck"
3868,"Difficulty swallowing, Headache, Lightheadedness and Nausea or vomiting"
3869,"Difficulty swallowing, Headache, Lump or bulge and Sore throat"
3870,"Difficulty swallowing, Headache, Nausea or vomiting and Pain or discomfort"
3871,"Difficulty swallowing, Headache, Nausea or vomiting and Upset stomach"
3872,"Difficulty swallowing, Headache, Pain and Stiff neck"
3873,"Difficulty swallowing, Headache, Sore throat and Stiff neck"
3874,"Difficulty swallowing, Heartburn and Irregular heartbeat"
3875,"Difficulty swallowing, Heartburn and Sore throat"
3876,"Difficulty swallowing, Hives and Spots on tonsils"
3877,"Difficulty swallowing, Hoarse voice and White patches on tongue"
3878,"Difficulty swallowing, Hoarse voice, Lump or bulge and Mouth sores"
3879,"Difficulty swallowing, Hoarse voice, Lump or bulge and Throat tightness"
3880,"Difficulty swallowing, Hoarse voice, Noisy breathing and Snoring"
3881,"Difficulty swallowing, Hoarse voice, Pain or discomfort and Sore tongue"
3882,"Difficulty swallowing, Itching or burning, Sore tongue and Swollen tongue"
3883,"Difficulty swallowing, Joint pain, Pain or discomfort and Post nasal drip"
3884,"Difficulty swallowing, Lump or bulge, Mouth sores and Pain"
3885,"Difficulty swallowing, Lump or bulge, Nausea or vomiting and Pain"
3886,"Difficulty swallowing, Lump or bulge, Pain and Sore throat"
3887,"Difficulty swallowing, Lump or bulge, Pain or discomfort and Spots on tonsils"
3888,"Difficulty swallowing, Lump or bulge, Pain or discomfort and Throat tightness"
3889,"Difficulty swallowing, Lump or bulge, Sore tongue and Swollen tongue"
3890,"Difficulty swallowing, Metallic taste in mouth, Sore tongue and Swollen tongue"
3891,"Difficulty swallowing, Metallic taste, Pain and Sore tongue"
3892,"Difficulty swallowing, Mouth sores, Red spots and Spots on throat"
3893,"Difficulty swallowing, Muscle cramps or spasms (painful) and Throat tightness"
3894,"Difficulty swallowing, Nasal congestion and Nosebleed"
3895,"Difficulty swallowing, Nasal congestion, Runny nose and Sneezing"
3896,"Difficulty swallowing, Nasal congestion, Runny nose and Sore throat"
3897,"Difficulty swallowing, Nausea or vomiting and Sore throat"
3898,"Difficulty swallowing, Nausea or vomiting, Sore throat and Upset stomach"
3899,"Difficulty swallowing, Numbness or tingling and Throat tightness"
3900,"Difficulty swallowing, Pain and Pain when swallowing"
3901,"Difficulty swallowing, Pain and Stiff neck"
3902,"Difficulty swallowing, Pain and Throat tightness"
3903,"Difficulty swallowing, Pain or discomfort and Swollen tonsils"
3904,"Difficulty swallowing, Pain or discomfort and Thick saliva or mucus"
3905,"Difficulty swallowing, Pain or discomfort, Red spots and Spots on throat"
3906,"Difficulty swallowing, Pain or discomfort, Runny nose and Sore throat"
3907,"Difficulty swallowing, Pain or discomfort, Smooth tongue and Sore tongue"
3908,"Difficulty swallowing, Pain or discomfort, Swelling (Eyes) and Swelling (Face)"
3909,"Difficulty swallowing, Pain, Sore tongue and Swollen tongue"
3910,"Difficulty swallowing, Pain, Stiff neck and Head tilts"
3911,"Difficulty swallowing, Pain, Stiff neck and Throat tightness"
3912,"Difficulty swallowing, Pain, Tenderness to touch and Throat tightness"
3913,"Difficulty swallowing, Post nasal drip and Throat tightness"
3914,"Difficulty swallowing, Sore throat and Sore tongue"
3915,"Difficulty swallowing, Sore throat and Thick saliva"
3916,"Difficulty swallowing, Sore throat and Throat tightness"
3917,"Difficulty swallowing, Sore throat and Upset stomach"
3918,"Difficulty swallowing, Sore throat, Spots on throat and Swelling"
3919,"Difficulty swallowing, Sore throat, Spots on tonsils and Tender glands"
3920,"Difficulty swallowing, Sore throat, Stiff neck and Tender glands"
3921,"Difficulty swallowing, Sore throat, Stiff neck and Throat tightness"
3922,"Difficulty swallowing, Sore throat, Tender glands and Tenderness to touch"
3923,"Difficulty swallowing, Sore throat, Tenderness to touch and Throat tightness"
3924,"Difficulty swallowing, Sore tongue and Swollen tongue"
3925,"Difficulty swallowing, Sore tongue and White patches on tongue"
3926,"Difficulty swallowing, Stiff neck and Throat tightness"
3927,"Difficulty swallowing, Stiff neck, Swelling and Throat tightness"
3928,"Difficulty swallowing, Stiff neck, Throat tightness and Head tilts"
3929,"Difficulty swallowing, Swelling and Throat tightness"
3930,"Difficulty swallowing, Swollen tonsils and Thick saliva"
3931,"Difficulty swallowing, Tenderness to touch and Throat tightness"
3932,Difficulty talking and Drooling
3933,Difficulty talking and Hoarse voice
3934,Difficulty talking and Metallic taste in mouth
3935,Difficulty talking and Rapid speech
3936,Difficulty talking and Shortness of breath
3937,Difficulty talking and Swollen tongue
3938,Difficulty talking and Swollen tonsils
3939,Difficulty talking and Throat tightness
3940,"Difficulty talking, Dizziness, Fainting and Shortness of breath"
3941,"Difficulty talking, Dizziness, Headache and Numbness or tingling"
3942,"Difficulty talking, Dizziness, Nighttime wheezing and Pain or discomfort"
3943,"Difficulty talking, Drooling, Inability to move and Slurred speech"
3944,"Difficulty talking, Dry mouth, Hoarse voice and Loss of voice"
3945,"Difficulty talking, Ear ache, Enlarged or swollen glands and Muffled voice"
3946,"Difficulty talking, Ear ache, Hoarse voice and Lump or bulge"
3947,"Difficulty talking, Excessive mouth watering and Slurred speech"
3948,"Difficulty talking, Fever, Grinding teeth and Headache (worst ever)"
3949,"Difficulty talking, Hoarse voice and Loss of voice"
3950,"Difficulty talking, Hoarse voice, Loss of voice and Lump or bulge"
3951,"Difficulty talking, Numbness or tingling and Slurred speech"
3952,"Difficulty talking, Pain and Stiff neck"
3953,"Difficulty talking, Pain and Swelling"
3954,"Difficulty talking, Pain and Throat tightness"
3955,Difficulty Urinating
3956,Difficulty urinating and Pain
3957,Difficulty urinating and Testicular pain
3958,Difficulty urinating and Unable to obtain or maintain erection
3959,"Difficulty urinating, Fatigue, Fever and Frequent urge to urinate"
3960,"Difficulty urinating, Shortness of breath, Frequent urination, Labored breathing"
3961,Difficulty With Speech
3962,Diffuse Idiopathic Skeletal Hyperostosis Symptoms
3963,Dilated Pupils (Mydriasis)
3964,"Dilated pupils, Fatigue"
3965,"Dilated pupils, Headache"
3966,Dimpled Breast (Peau d'Orange)
3967,Diogenes Syndrome (Self-Neglect)
3968,Diphtheria Symptoms and Signs
3969,Discharge from nipple and Enlarged or swollen glands
3970,Discharge from nipple and Irregular menstrual periods
3971,Discharge from nipple and Lump or bulge
3972,Discharge from nipple and Numbness or tingling
3973,Discharge from nipple and Pain with sexual intercourse (female)
3974,Discharge from nipple and Tightness
3975,Discharge from nipple and Visible deformity
3976,Discharge from nipple and Weight gain
3977,"Discharge from nipple, Drainage or pus, Lump or bulge and Pain or discomfort"
3978,"Discharge from nipple, Lump or bulge, New onset asthma and Pain or discomfort"
3979,"Discharge from nipple, Lump or bulge, Swelling and Tenderness to touch"
3980,"Discharge from nipple, Nausea or vomiting and Tenderness to touch"
3981,"Discharge from nipple, Night sweats, Scaling skin and Swelling"
3982,"Discharge from nipple, Pain or discomfort and Vaginal discharge"
3983,"Discharge from nipple, Pressure or heaviness and Tenderness to touch"
3984,"Discharge from nipple, Swelling, Tenderness to touch and Warm to touch"
3985,"Discharge from nipple, Tenderness to touch and Vaginal discharge"
3986,Discharge From Penis (Penile Discharge)
3987,Discharge from penis and Erectile dysfunction
3988,Discharge from penis and Lump or bulge
3989,Discharge from penis and Numbness or tingling
3990,Discharge from penis and Painful ejaculation
3991,Discharge from penis and Testicles shrinkage
3992,Discharge from penis and Visible bugs or parasites
3993,Discharge from penis and Warm to touch
3994,"Discharge from penis, Drainage or pus and Lump or bulge"
3995,"Discharge from penis, Drainage or pus and Pain with urination"
3996,"Discharge from penis, Drainage or pus and Painful ejaculation"
3997,"Discharge from penis, Drainage or pus and Premature ejaculation"
3998,"Discharge from penis, Drainage or pus and Swelling"
3999,"Discharge from penis, Drainage or pus and Urine leaking (incontinence)"
4000,"Discharge from penis, Drainage or pus, Lump or bulge and Pain or discomfort"
4001,"Discharge from penis, Drainage or pus, Pain or discomfort and Swelling"
4002,"Discharge from penis, Itching or burning and Tenderness to touch"
4003,"Discharge from penis, Itching or burning and Warm to touch"
4004,"Discharge from penis, Itching or burning, Premature ejaculation and Swelling"
4005,"Discharge from penis, Muscle cramps"
4006,"Discharge from penis, Pain and Warm to touch"
4007,"Discharge from penis, Pain or discomfort and Testicular pain"
4008,"Discharge from penis, Swelling and Tenderness to touch"
4009,"Discharge from penis, Urinary incontinence"
4010,Discharge or mucus in eyes and Mouth sores
4011,Discharge or mucus in eyes and Painful red lump on eyelid
4012,Discharge or mucus in eyes and Sensation of something in eye
4013,Discharge or mucus in eyes and Vaginal discharge
4014,"Discharge or mucus in eyes, Dizziness, Eye irritation and Eyelid redness"
4015,"Discharge or mucus in eyes, Drainage or pus and Eyelashes falling out"
4016,"Discharge or mucus in eyes, Drainage or pus and Eyelid redness"
4017,"Discharge or mucus in eyes, Drainage or pus and Red spots inside lower eyelid"
4018,"Discharge or mucus in eyes, Drainage or pus and Sore throat"
4019,"Discharge or mucus in eyes, Drainage or pus, Puffy eyelids and Swelling"
4020,"Discharge or mucus in eyes, Drainage or pus, Runny nose and Sneezing"
4021,"Discharge or mucus in eyes, Drooping eyelid, Eye irritation and Eyelid redness"
4022,"Discharge or mucus in eyes, Dry eyes, Eye irritation and Eyelid redness"
4023,"Discharge or mucus in eyes, Fever, Night sweats and Tires quickly"
4024,Dislikes change in daily routine and Fearful
4025,Dislocated Elbow Symptoms and Signs
4026,Dislocated Hip Symptoms and Signs
4027,Dislocated Knee Symptoms and Signs
4028,Dislocated Shoulder Symptoms and Signs
4029,Disorganized Speech
4030,Disorientation and Dizziness
4031,Disorientation and Fever
4032,Disorientation and Hallucinations
4033,Disorientation and Headache
4034,Disorientation and Lightheadedness
4035,Disorientation and Nosebleed
4036,Disorientation and Ringing in ears
4037,Disorientation and Unusual behavior
4038,Disorientation and Weakness
4039,"Disorientation, Dizziness and Nausea or vomiting"
4040,"Disorientation, Dizziness, Dilated pupils, Fainting"
4041,"Disorientation, Dizziness, Drowsiness and Early morning waking"
4042,"Disorientation, Dizziness, Drowsiness and Feeling detached from reality"
4043,"Disorientation, Dizziness, Dry mouth and Shaking"
4044,"Disorientation, Dizziness, Ear ache and Fatigue"
4045,"Disorientation, Dizziness, Early morning waking, Feeling detached from reality"
4046,"Disorientation, Dizziness, Headache and Poor concentration"
4047,"Disorientation, Dizziness, Irregular menstrual periods and Lack of motivation"
4048,"Disorientation, Dizziness, Lightheadedness and Poor concentration"
4049,"Disorientation, Drowsiness, Fever and Nausea or vomiting"
4050,"Disorientation, Fatigue, Headache and Lightheadedness"
4051,"Disorientation, Forgetfulness, Hair loss and Memory problems"
4052,"Disorientation, Forgetfulness, Lightheadedness and Memory problems"
4053,"Disorientation, Headache, Lightheadedness and Paranoid behavior"
4054,Dissociative Identity Disorder Symptoms and Signs
4055,Distended Stomach (Abdominal Distention)
4056,Distended stomach and Nausea or vomiting
4057,Distended stomach and Numbness or tingling
4058,Distended stomach and Swelling
4059,Distended stomach and Weight gain
4060,"Distended stomach, Bloating and  Painful intercourse"
4061,"Distended stomach, Bruising and Pain"
4062,"Distended stomach, Dry skin, Flaking skin and Nausea or vomiting"
4063,"Distended stomach, Fatigue, Hunger and Excessive gas"
4064,"Distended stomach, Headache, Numbness or tingling and Pain or discomfort"
4065,"Distended stomach, Lump or bulge and Pain"
4066,"Distended stomach, Lump or bulge and Visible deformity"
4067,"Distended stomach, Lump or bulge, Muscle cramps, Pain"
4068,"Distended stomach, Lump or bulge, Pain and Visible deformity"
4069,"Distended stomach, Lump or bulge, Pain or discomfort and Skin bumps"
4070,"Distended stomach, Lump or bulge, Pulsating sensation and Tenderness to touch"
4071,"Distended stomach, Lump or bulge, Pulsating sensation and Visible deformity"
4072,"Distended stomach, Lump or bulge, Swelling and Visible deformity"
4073,"Distended stomach, Muscle cramps, Nausea or vomiting, Pain"
4074,"Distended stomach, Nausea or vomiting, Pain and Pressure or fullness"
4075,"Distended stomach, Numbness or tingling and Pain"
4076,"Distended stomach, Numbness or tingling, Pain and Pressure or fullness"
4077,"Distended stomach, Pain and Pulsating sensation"
4078,"Distended stomach, Pain and Tenderness to touch"
4079,"Distended stomach, Pain or discomfort, Swelling (Shin) and Swelling (Foot (top))"
4080,"Distended stomach, Swelling and Visible deformity"
4081,"Distended stomach, Swelling, Yellow eyes and Yellow skin"
4082,Distorted body image and Excessive crying
4083,Distorted body image and Low self-esteem
4084,Distorted body image and Pain or discomfort
4085,"Distorted body image, Excessive crying, Food cravings and Low self-esteem"
4086,Distortion of part of visual field and Headache
4087,Distortion of part of visual field and Partial vision loss
4088,Distortion of part of visual field and Shadow over part of vision
4089,Distractibility
4090,Diverticulitis Symptoms and Signs
4091,Diverticulosis Symptoms and Signs
4092,Dizziness
4093,Dizziness and Bleeding between periods
4094,Dizziness and Drowsiness
4095,Dizziness and Dry mouth
4096,Dizziness and Early morning waking
4097,Dizziness and Forgetfulness
4098,Dizziness and Frequent urination
4099,Dizziness and Frightening dreams
4100,Dizziness and Hair loss
4101,Dizziness and Hallucinations
4102,Dizziness and Hearing voices
4103,Dizziness and Heartburn
4104,Dizziness and Heavy menstrual bleeding
4105,Dizziness and High blood pressure
4106,Dizziness and Hives
4107,Dizziness and Hunger
4108,Dizziness and Increased sensitivity to heat
4109,Dizziness and Memory problems
4110,Dizziness and Metallic taste
4111,Dizziness and Missed period
4112,Dizziness and Nasal congestion
4113,Dizziness and Night sweats
4114,Dizziness and Nosebleed
4115,Dizziness and Numbness
4116,Dizziness and Numbness or tingling
4117,Dizziness and Overweight
4118,Dizziness and Pain
4119,Dizziness and Pain when moving eyes
4120,Dizziness and Pain with urination
4121,Dizziness and Painful bowel movements
4122,Dizziness and Pale skin
4123,Dizziness and Partial vision loss
4124,Dizziness and Pulsating sensation
4125,Dizziness and Restless (urge to move) legs
4126,Dizziness and Runny nose
4127,Dizziness and Sensitive to light
4128,Dizziness and Sensitive to noise
4129,Dizziness and Shaking hands
4130,Dizziness and Short attention span
4131,Dizziness and Shortness of breath
4132,Dizziness and Skin rash
4133,Dizziness and Slurred speech
4134,Dizziness and Sneezing
4135,Dizziness and Sore or burning eyes
4136,Dizziness and Sore throat
4137,Dizziness and Stiff neck
4138,Dizziness and Stomach cramps
4139,Dizziness and Strange smell or taste
4140,Dizziness and Sudden flash of lights
4141,Dizziness and Swelling
4142,Dizziness and Taste of acid in mouth
4143,Dizziness and Throat tightness
4144,Dizziness and Unable to obtain or maintain erection
